Nome,Descrição,Duração,Categoria,Categoria Padrão,Tipo de Preço,Preço Padrão,Preço Promocional,Custo Médio dos Produtos,Custo Médio dos Produtos para Profissional,Descartáveis e outras despesas,Custo Operacional para Estabelecimento,Custo Operacional para Profissional
Aplicação de cílios,Extensão de cílios,30 min,Cílios,Cílios,A partir de,20,,,,,,
#NOME?,Lavar,,,,,,,,,,,
#NOME?,Utilização Shampoo e Condicionador linha PREMIUM,30 min,Cuidados com Cabelo,Cabelo,Preço Fixo,40,,,,,,
Aplicação de Coloração do cliente raiz,Aplicação de Coloração. Produto levado pelo cliente.RETOQUE,30 min,Cuidados com Cabelo,Cabelo,Preço Fixo,80,,,,,,
Aplicação de Coloração total do cliente,Aplicação de Coloração. Produto levado pelo cliente.TOTAL,45 min,Cuidados com Cabelo,Cabelo,A partir de,150,,,,,,
Aplicação de Henna nos Fios,Aplicação de Henna nos Fios.,60 min,Cuidados com Cabelo,Cabelo,A partir de,100,,,,,,
BABYLISS  G,Babyliss após escovaCabelos Longos,30 min,Cuidados com Cabelo,Cabelo,Preço Fixo,55,,,,,,
BABYLISS  GG,Prancha ou Babyliss após escovaCabelos MUITO LONGOS,45 min,Cuidados com Cabelo,Cabelo,Preço Fixo,65,,,,,,
BABYLISS  P,Prancha ou Babyliss após escova Cabelos Curtos,20 min,Cuidados com Cabelo,Cabelo,Preço Fixo,40,,,,,,
Coloração Inoa,A Coloração Inoa é sem amônia e sem odor. Oferece cobertura de até 100% dos fios brancos com máximo brilho e maciez,,,,,,,,,,,
Coloração Keune,Coloração Keune,1h e 30 min,Cuidados com Cabelo,Cabelo,A partir de,155,,,,,,
Coloração Keune Ruivo,Coloração,1h e 30 min,Cuidados com Cabelo,Cabelo,A partir de,185,,,,,,
Corte - Franja,Corte apenas da franja do cabelo.,30 min,Cuidados com Cabelo,Cabelo,Preço Fixo,40,,,,,,
Corte a Máquina,Corte a máquina.,30 min,Cuidados com Cabelo,Cabelo,Preço Fixo,50,,,,,,
Corte Bordado,Corte Bordado,30 min,Cuidados com Cabelo,Cabelo,Preço Fixo,150,,,,,,
Corte FEMININO,Higienização e corte,45 min,Cuidados com Cabelo,Cabelo,Preço Fixo,120,,,,,,
Corte Infantil,Corte Infantil,30 min,Cuidados com Cabelo,Cabelo,Preço Fixo,60,,,,,,
Corte Masculino,Higienização e Secagem.,30 min,Cuidados com Cabelo,Cabelo,Preço Fixo,60,,,,,,
Decapagem / Descoloração,Descolorir todo o cabelo. Essa técnica remove toda a cor do cabelo,,,,,,,,,,,
Escova e Prancha,Lava-se os Cabelos,,,,,,,,,,,
Escova G,Lava-se os Cabelos e realiza a Escova.Cabelos Longos,60 min,Cuidados com Cabelo,Cabelo,Preço Fixo,65,,,,,,
Escova GG,Lava-se os Cabelos e realiza a Escova.Cabelos BEM Longos,1h e 10 min,Cuidados com Cabelo,Cabelo,Preço Fixo,85,,,,,,
Escova M,Lava-se os Cabelos e realiza a Escova.Cabelos Médios,45 min,Cuidados com Cabelo,Cabelo,Preço Fixo,55,,,,,,
